"y" "treat" "age" "south" "male" "college"
"4" 3 FALSE 7.2 1 0 0
"5" 0 TRUE 2.1 0 1 1
"6" 2 FALSE 2.5 0 0 1
"7" 3 FALSE 3.3 0 1 1
"8" 4 TRUE 4.4 0 0 1
"11" 2 FALSE 6.4 0 0 0
"15" 4 TRUE 6.5 0 0 1
"16" 3 TRUE 7 0 1 0
"17" 2 FALSE 4.3 0 1 1
"20" 3 TRUE 3.3 0 1 0
"21" 4 TRUE 4.3 1 1 1
"22" 3 FALSE 6.1 1 1 0
"24" 2 FALSE 3.6 0 0 1
"25" 4 TRUE 2.1 1 0 0
"26" 4 TRUE 6.7 1 1 1
"28" 2 TRUE 2.2 0 1 1
"31" 3 TRUE 4.4 0 0 1
"32" 2 TRUE 2.4 0 1 1
"33" 1 FALSE 4.3 0 1 1
"36" 1 TRUE 7.7 0 1 0
"38" 3 FALSE 5.2 0 0 1
"42" 1 FALSE 1.8 0 1 0
"43" 2 FALSE 3.4 1 0 1
"46" 2 TRUE 3.1 1 1 0
"48" 3 FALSE 4.3 0 0 0
"52" 3 FALSE 4.5 1 0 0
"53" 2 FALSE 3 1 0 0
"55" 2 TRUE 3.4 0 0 1
"56" 3 TRUE 6.4 1 0 0
"58" 4 TRUE 4.4 0 1 0
"59" 2 TRUE 5.4 0 1 1
"61" 4 TRUE 5.6 0 1 0
"62" 3 FALSE 2.7 0 0 0
"63" 3 TRUE 6.8 0 0 1
"65" 2 TRUE 3.6 0 1 0
"71" 2 FALSE 3.3 0 0 1
"72" 1 TRUE 7.8 0 1 0
"73" 1 FALSE 4.7 0 1 1
"74" 4 TRUE 2.8 0 1 0
"76" 3 FALSE 7.5 0 0 0
"78" 2 TRUE 8.1 0 1 1
"79" 1 TRUE 4.3 0 1 0
"80" 2 TRUE 4.5 0 1 1
"81" 2 TRUE 3.1 0 0 1
"82" 2 TRUE 5.3 1 0 1
"84" 3 FALSE 7.6 1 0 0
"85" 1 TRUE 3.8 0 1 0
"88" 1 TRUE 3 1 0 1
"90" 2 TRUE 2.5 1 1 1
"94" 3 FALSE 6.9 1 0 1
"98" 3 TRUE 2.9 0 1 1
"100" 3 TRUE 3.7 0 0 0
"103" 2 FALSE 2.6 0 0 0
"104" 3 FALSE 5.9 0 1 1
"106" 1 TRUE 2.8 0 1 1
"109" 2 FALSE 6.2 0 1 1
"110" 3 TRUE 6.3 0 0 0
"111" 1 FALSE 5.9 0 1 1
"112" 2 TRUE 3.2 0 1 0
"117" 2 FALSE 3.6 1 0 0
"118" 2 TRUE 2.7 1 0 1
"119" 3 TRUE 7.8 0 1 0
"120" 2 FALSE 7.3 1 0 0
"121" 3 TRUE 3.1 1 1 1
"124" 1 FALSE 4.7 0 0 1
"126" 3 FALSE 6.4 0 1 1
