"y" "treat" "list.data" "age" "south" "male" "college" "democrat" "republican" "independent" "sensitive" "sens.data"
"2" NA NA 0 4.9 1 0 0 0 0 1 0 1
"7" 2 0 1 4.4 1 0 1 1 0 0 NA 0
"9" 1 0 1 2.8 0 0 1 0 1 0 NA 0
"11" NA NA 0 1.9 0 0 1 0 0 1 0 1
"17" NA NA 0 4.4 0 1 1 0 0 1 0 1
"21" 1 0 1 2.7 0 0 0 0 0 1 NA 0
"22" 3 1 1 6.6 1 1 0 1 0 0 NA 0
"25" 2 1 1 4.9 0 0 0 0 0 1 NA 0
"26" 3 1 1 3.1 0 1 1 1 0 0 NA 0
"27" 4 0 1 2.1 0 0 1 0 0 0 NA 0
"29" 3 1 1 3.1 0 0 1 1 0 0 NA 0
"30" NA NA 0 6.7 0 0 0 1 0 0 0 1
"31" 3 0 1 2.3 0 0 0 0 0 1 NA 0
"32" 2 1 1 2.7 0 1 1 0 0 1 NA 0
"33" 2 1 1 4.9 1 0 1 0 1 0 NA 0
"36" NA NA 0 3.1 1 1 1 1 0 0 1 1
"37" NA NA 0 5.2 0 1 0 1 0 0 0 1
"38" 2 0 1 4.6 0 1 0 0 1 0 NA 0
"39" 3 1 1 6.4 0 0 1 0 0 1 NA 0
"40" NA NA 0 2.4 0 0 1 1 0 0 0 1
"41" NA NA 0 2.7 1 1 1 0 1 0 0 1
"44" 3 1 1 6.4 0 1 1 0 1 0 NA 0
"45" 2 0 1 6.4 0 1 1 0 1 0 NA 0
"46" NA NA 0 3.4 0 0 1 0 0 1 1 1
"48" 3 0 1 2.7 0 1 0 0 1 0 NA 0
"49" 3 0 1 3.6 0 1 0 0 1 0 NA 0
"50" NA NA 0 4.1 0 0 1 0 0 1 1 1
"61" NA NA 0 4.6 0 1 1 0 0 1 0 1
"65" 0 0 1 3.4 0 1 0 0 0 1 NA 0
"66" NA NA 0 4 0 1 1 0 1 0 1 1
"68" 3 1 1 3.5 0 0 1 0 1 0 NA 0
"69" NA NA 0 3.6 0 1 0 1 0 0 0 1
"71" 2 0 1 4.3 0 1 1 0 0 1 NA 0
"72" 2 0 1 3.7 0 1 1 0 1 0 NA 0
"73" 2 1 1 2.7 0 0 1 0 0 1 NA 0
"74" 1 1 1 6.9 0 0 0 1 0 0 NA 0
"75" NA NA 0 4.3 0 1 1 0 1 0 0 1
"77" 1 0 1 4.6 0 1 1 0 1 0 NA 0
"80" 3 1 1 3.7 0 1 1 1 0 0 NA 0
"81" 4 1 1 3.8 1 1 1 0 0 1 NA 0
"82" 4 1 1 3.6 1 0 0 0 1 0 NA 0
"85" 3 1 1 4.9 1 1 0 0 1 0 NA 0
"90" 3 0 1 5.8 0 0 0 0 0 1 NA 0
"92" 3 0 1 4.1 0 0 1 0 0 1 NA 0
"93" NA NA 0 4 0 1 1 0 0 1 0 1
"95" 1 0 1 3.8 0 0 0 1 0 0 NA 0
"97" NA NA 0 5.4 0 0 1 1 0 0 0 1
"99" 2 1 1 3.2 0 1 1 0 0 1 NA 0
"100" NA NA 0 3.2 0 1 0 0 1 0 0 1
"102" NA NA 0 4.9 0 1 1 0 0 1 0 1
"103" 1 0 1 6.5 0 0 1 1 0 0 NA 0
"105" NA NA 0 4.5 0 0 0 0 1 0 0 1
"108" NA NA 0 7.3 1 1 1 0 0 1 0 1
"114" NA NA 0 4.6 1 0 1 0 0 1 1 1
"120" NA NA 0 5.3 0 0 0 1 0 0 0 1
"125" 3 0 1 7 0 0 1 0 1 0 NA 0
"130" 2 0 1 3.2 0 0 1 0 0 1 NA 0
"137" NA NA 0 5.8 0 0 0 0 1 0 1 1
"138" NA NA 0 4.3 0 1 0 0 0 1 0 1
"140" 1 0 1 3.3 0 1 1 1 0 0 NA 0
"144" 1 1 1 2.4 1 1 1 0 0 1 NA 0
"149" 2 0 1 2.6 0 1 1 0 1 0 NA 0
"151" 1 0 1 7 0 0 0 1 0 0 NA 0
"152" NA NA 0 4.4 0 1 0 1 0 0 0 1
"153" NA NA 0 8.2 0 1 0 1 0 0 1 1
"154" 4 0 1 4.6 0 0 0 1 0 0 NA 0
"156" 1 0 1 4.3 0 0 1 1 0 0 NA 0
"160" 1 1 1 2.6 0 1 1 0 0 1 NA 0
"161" 2 0 1 2.4 0 0 0 0 0 0 NA 0
"162" 2 0 1 3.1 0 1 1 0 0 1 NA 0
"169" NA NA 0 5.7 0 1 1 0 1 0 1 1
"170" 3 1 1 7 0 1 0 1 0 0 NA 0
"171" NA NA 0 6.7 0 1 1 0 0 1 1 1
"173" NA NA 0 6.5 1 0 0 0 1 0 1 1
"174" NA NA 0 5.9 1 0 1 0 1 0 0 1
"176" 2 1 1 2.3 1 0 1 0 1 0 NA 0
"177" NA NA 0 6 1 0 0 0 1 0 0 1
"178" 4 1 1 4.2 1 1 0 0 1 0 NA 0
"180" 1 1 1 1.9 1 1 1 0 1 0 NA 0
"181" 2 1 1 3.9 1 0 1 1 0 0 NA 0
"182" 1 0 1 4.7 0 1 1 0 1 0 NA 0
"183" NA NA 0 3.5 0 0 1 0 1 0 0 1
"185" 2 0 1 4.5 0 1 0 0 0 1 NA 0
"186" 1 1 1 3 0 1 1 0 1 0 NA 0
"188" 2 1 1 3.3 1 0 1 1 0 0 NA 0
"189" 1 1 1 5.4 0 0 1 1 0 0 NA 0
"192" 2 1 1 4.1 1 1 1 0 1 0 NA 0
"194" 1 1 1 2.9 0 0 1 0 0 1 NA 0
"197" NA NA 0 8.2 1 0 0 0 0 0 0 1
"200" 3 1 1 1.8 0 0 0 0 0 1 NA 0
"201" 3 0 1 5.9 0 1 0 1 0 0 NA 0
"202" NA NA 0 3.2 0 0 0 0 0 1 0 1
"203" NA NA 0 6.9 0 0 0 0 1 0 1 1
"206" 1 0 1 4.5 0 1 1 0 0 1 NA 0
"209" 2 0 1 3.4 0 0 1 0 0 1 NA 0
"210" 1 1 1 3 0 1 1 0 0 1 NA 0
"213" NA NA 0 2.9 0 0 1 1 0 0 1 1
"214" NA NA 0 6.5 0 0 1 0 0 1 0 1
"215" 2 0 1 5.9 0 1 1 0 0 1 NA 0
"216" 3 1 1 3.5 0 0 0 0 1 0 NA 0
"217" 3 1 1 3.3 0 1 1 0 1 0 NA 0
"220" 2 0 1 5.1 0 1 1 1 0 0 NA 0
"222" NA NA 0 2.9 0 1 1 0 0 1 1 1
"223" 2 1 1 3.1 0 1 1 0 1 0 NA 0
"224" 3 1 1 3.6 0 1 1 0 1 0 NA 0
"226" 3 1 1 3.7 0 0 0 0 0 1 NA 0
"227" NA NA 0 2.7 0 1 1 0 0 1 0 1
"228" 3 0 1 1.8 1 0 0 0 0 1 NA 0
"230" 3 1 1 7 1 1 1 1 0 0 NA 0
"232" 2 0 1 5.5 0 1 0 1 0 0 NA 0
"233" NA NA 0 3.1 1 0 1 0 0 1 0 1
"234" 2 1 1 3.3 0 0 1 0 0 0 NA 0
"236" NA NA 0 2.7 0 1 1 0 0 1 0 1
"238" 3 0 1 2.3 0 0 1 1 0 0 NA 0
"239" 2 1 1 6.5 0 1 0 1 0 0 NA 0
"243" 2 0 1 5.1 0 0 0 0 1 0 NA 0
"245" 1 0 1 5.3 0 0 0 0 0 1 NA 0
"246" 4 1 1 3.9 0 0 1 1 0 0 NA 0
"256" 4 1 1 4.6 0 0 1 0 0 1 NA 0
"259" NA NA 0 7 0 0 1 0 1 0 0 1
"260" 3 1 1 3.2 1 1 1 0 1 0 NA 0
"261" 5 1 1 4.2 0 1 0 0 0 0 NA 0
"262" NA NA 0 2.6 0 0 1 0 1 0 1 1
"264" 3 0 1 6.5 0 1 0 1 0 0 NA 0
"269" 1 0 1 3.9 0 0 1 0 0 1 NA 0
"271" NA NA 0 5.6 0 1 0 0 1 0 0 1
"272" 2 1 1 2 0 1 1 0 0 1 NA 0
"273" 3 1 1 4.3 0 1 0 0 1 0 NA 0
"277" NA NA 0 6.2 0 0 0 0 0 0 0 1
"278" 2 0 1 2.3 0 0 1 0 0 1 NA 0
"281" 3 0 1 5.3 0 1 0 1 0 0 NA 0
"283" 2 0 1 3.9 0 1 1 0 0 1 NA 0
"286" 3 1 1 3.9 0 1 0 1 0 0 NA 0
"287" 3 1 1 7.8 0 1 1 0 1 0 NA 0
"288" 1 0 1 8.8 0 1 0 0 0 1 NA 0
"289" 3 0 1 2.7 0 1 1 0 0 1 NA 0
"292" NA NA 0 2.5 0 1 1 0 0 1 1 1
"295" 1 1 1 8.1 0 0 1 0 0 1 NA 0
"296" NA NA 0 4.2 1 0 0 1 0 0 1 1
"301" 3 0 1 4.2 0 0 1 1 0 0 NA 0
"305" NA NA 0 7.4 0 0 1 1 0 0 0 1
"306" 3 1 1 4.4 0 1 0 0 1 0 NA 0
"309" 1 1 1 6.7 1 0 1 0 0 1 NA 0
"311" NA NA 0 2.7 0 0 1 0 1 0 0 1
"313" 3 1 1 3.5 0 1 1 0 1 0 NA 0
"314" 2 1 1 6.6 0 0 0 0 0 1 NA 0
"315" 4 1 1 3 0 0 0 1 0 0 NA 0
"318" NA NA 0 3.6 0 0 1 0 1 0 0 1
"320" 2 1 1 2.9 0 0 1 1 0 0 NA 0
"328" 1 0 1 2 0 0 0 0 0 1 NA 0
"330" 3 0 1 6.5 1 0 1 0 1 0 NA 0
"332" NA NA 0 4 0 0 1 1 0 0 0 1
"334" 0 1 1 5.2 0 0 0 0 0 0 NA 0
"339" 4 1 1 1.8 1 1 0 0 1 0 NA 0
"340" 2 0 1 8.7 1 0 1 1 0 0 NA 0
"342" NA NA 0 5.5 0 1 0 1 0 0 0 1
"345" NA NA 0 5.3 0 1 0 0 0 1 0 1
"348" NA NA 0 6.3 0 1 0 1 0 0 0 1
"349" 2 1 1 8 0 0 1 1 0 0 NA 0
"350" 2 0 1 3.9 0 0 1 0 1 0 NA 0
"352" 2 0 1 5.6 0 0 0 1 0 0 NA 0
"354" 2 1 1 6.6 0 1 1 0 1 0 NA 0
"355" 3 0 1 5.6 1 0 0 0 0 1 NA 0
"357" 3 0 1 5.7 0 0 0 0 1 0 NA 0
"359" NA NA 0 4.6 0 1 1 1 0 0 0 1
"361" 4 1 1 3.5 0 1 1 0 0 1 NA 0
"362" 4 1 1 5.9 0 0 0 0 0 0 NA 0
"363" NA NA 0 8.5 0 1 1 0 0 1 1 1
"364" NA NA 0 1.9 0 1 1 0 0 1 1 1
"365" 3 0 1 2.4 0 0 0 0 0 1 NA 0
"369" NA NA 0 3.1 0 1 0 0 0 1 0 1
"370" NA NA 0 4.7 0 1 1 0 0 1 0 1
"374" 2 0 1 3.5 1 0 1 0 1 0 NA 0
"375" 3 0 1 3.1 1 0 1 1 0 0 NA 0
"381" 4 0 1 6.4 0 1 0 0 1 0 NA 0
"387" 3 0 1 3.6 0 1 1 1 0 0 NA 0
"388" 2 0 1 3.1 0 1 1 1 0 0 NA 0
"389" 3 0 1 7.4 0 1 0 1 0 0 NA 0
