"y" "treat" "age" "south" "male" "college"
"4" 3 0 7.2 1 0 0
"5" 0 2 2.1 0 1 1
"6" 2 0 2.5 0 0 1
"7" 3 0 3.3 0 1 1
"8" 4 2 4.4 0 0 1
"9" 2 1 2.4 0 1 0
"10" 3 1 6 0 0 1
"11" 2 0 6.4 0 0 0
"13" 3 1 5.2 0 0 0
"14" 2 1 3 0 0 1
"15" 4 2 6.5 0 0 1
"16" 3 2 7 0 1 0
"17" 2 0 4.3 0 1 1
"18" 1 1 4.5 0 1 1
"19" 1 1 3.7 0 1 1
"20" 3 2 3.3 0 1 0
"21" 4 2 4.3 1 1 1
"22" 3 0 6.1 1 1 0
"24" 2 0 3.6 0 0 1
"25" 4 2 2.1 1 0 0
"26" 4 2 6.7 1 1 1
"28" 2 2 2.2 0 1 1
"30" 3 1 6.2 0 0 0
"31" 3 2 4.4 0 0 1
"32" 2 2 2.4 0 1 1
"33" 1 0 4.3 0 1 1
"36" 1 2 7.7 0 1 0
"38" 3 0 5.2 0 0 1
"40" 2 1 3.2 0 1 1
"41" 1 1 4.3 0 1 1
"42" 1 0 1.8 0 1 0
"43" 2 0 3.4 1 0 1
"44" 1 1 6.7 1 0 1
"46" 2 2 3.1 1 1 0
"48" 3 0 4.3 0 0 0
"49" 1 1 3.3 1 0 1
"50" 2 1 2.7 1 1 1
"51" 2 1 3.6 1 1 0
"52" 3 0 4.5 1 0 0
"53" 2 0 3 1 0 0
"54" 1 1 4.5 1 0 1
"55" 2 2 3.4 0 0 1
"56" 3 2 6.4 1 0 0
"57" 3 1 3.1 0 0 0
"58" 4 2 4.4 0 1 0
"59" 2 2 5.4 0 1 1
"60" 2 1 1.8 0 1 0
"61" 4 2 5.6 0 1 0
"62" 3 0 2.7 0 0 0
"63" 3 2 6.8 0 0 1
"65" 2 2 3.6 0 1 0
"66" 1 1 7.4 0 0 0
"67" 3 1 2.5 0 1 0
"68" 3 1 5.7 0 1 0
"70" 1 1 3.9 0 1 1
"71" 2 0 3.3 0 0 1
"72" 1 2 7.8 0 1 0
"73" 1 0 4.7 0 1 1
"74" 4 2 2.8 0 1 0
"75" 3 1 3.2 0 1 1
"76" 3 0 7.5 0 0 0
"77" 2 1 5.4 0 0 0
"78" 2 2 8.1 0 1 1
"79" 1 2 4.3 0 1 0
"80" 2 2 4.5 0 1 1
"81" 2 2 3.1 0 0 1
"82" 2 2 5.3 1 0 1
"84" 3 0 7.6 1 0 0
"85" 1 2 3.8 0 1 0
"86" 2 1 2.9 0 0 1
"88" 1 2 3 1 0 1
"89" 2 1 3.7 1 0 0
"90" 2 2 2.5 1 1 1
"91" 2 1 6.4 1 1 1
"93" 2 1 4.6 1 0 1
"94" 3 0 6.9 1 0 1
"96" 3 1 5.1 0 0 1
"98" 3 2 2.9 0 1 1
"100" 3 2 3.7 0 0 0
"101" 2 1 2.4 0 0 1
"102" 3 1 3.4 0 1 1
"103" 2 0 2.6 0 0 0
"104" 3 0 5.9 0 1 1
"106" 1 2 2.8 0 1 1
"107" 3 1 3.6 0 0 1
"108" 2 1 7.9 0 0 1
"109" 2 0 6.2 0 1 1
"110" 3 2 6.3 0 0 0
"111" 1 0 5.9 0 1 1
"112" 2 2 3.2 0 1 0
"115" 3 1 6.2 0 1 0
"116" 3 1 3.3 1 1 1
"117" 2 0 3.6 1 0 0
"118" 2 2 2.7 1 0 1
"119" 3 2 7.8 0 1 0
"120" 2 0 7.3 1 0 0
"121" 3 2 3.1 1 1 1
"122" 3 1 7.5 1 0 0
"124" 1 0 4.7 0 0 1
"125" 3 1 5.4 0 0 1
"126" 3 0 6.4 0 1 1
"127" 2 0 8.6 0 0 1
"128" 1 1 2.5 0 1 1
"131" 3 0 3.3 0 0 0
"132" 0 1 8.4 0 1 0
"133" 2 0 3.1 0 1 0
"134" 3 0 6.3 0 1 1
"135" 4 2 5.5 0 0 0
"136" 2 0 4.2 0 0 0
"137" 2 0 2.5 0 0 1
"138" 3 0 5.7 0 1 0
"140" 3 2 8.3 0 1 1
"141" 4 1 4.7 0 1 0
"142" 1 1 4.7 0 0 1
"145" 3 2 3.1 0 0 1
"148" 4 2 6.5 1 0 1
"149" 3 2 2.1 1 1 0
"152" 1 1 2.4 0 0 1
"153" 4 2 7.6 0 0 0
"154" 2 1 4.8 0 0 1
"155" 1 1 4.3 1 0 1
"156" 2 0 2.6 1 0 1
"157" 3 1 2.9 0 0 1
"158" 3 2 7.9 0 0 0
"159" 2 0 3.2 1 1 1
"160" 2 2 2.9 1 0 0
"161" 2 0 7.8 0 0 1
"162" 2 0 3.2 0 1 0
"163" 1 1 2.7 0 1 1
"165" 3 1 8.8 0 0 1
"167" 3 0 8.2 0 0 0
"168" 2 1 6.2 0 0 0
"169" 4 2 3.6 0 0 1
"171" 4 2 6.3 0 0 0
"172" 2 1 3.5 0 1 0
"173" 3 0 3.6 0 0 1
"174" 2 1 5.1 0 1 1
"175" 2 0 4.5 0 0 0
"177" 3 0 2.9 0 0 0
"178" 3 0 4.1 0 1 1
"179" 3 2 3.1 0 0 0
"180" 3 0 5 0 1 0
"181" 4 2 5.4 0 1 0
"182" 2 2 5.6 0 0 0
"183" 4 2 4.9 0 0 0
"184" 1 0 4.2 1 0 0
"185" 3 0 4.1 1 0 0
"186" 2 0 4.4 1 0 1
"187" 3 0 7.1 1 1 1
"188" 3 0 5 0 0 0
"189" 3 0 3.3 0 0 1
"190" 2 0 2.5 1 0 1
"191" 1 2 3.9 1 0 1
"193" 2 2 3.5 1 1 0
"194" 3 1 6 1 1 1
"196" 3 1 4.1 0 0 1
"197" 3 0 2.1 0 0 1
"198" 2 2 3.9 0 1 0
"199" 2 0 3.2 0 1 1
"200" 2 0 3.9 0 1 0
"202" 2 0 5 0 0 1
"204" 3 1 5.3 0 1 1
"205" 3 0 5.3 0 0 0
"207" 2 0 1.9 0 1 0
"208" 3 0 6 0 0 1
